ADMIN_CODE,LAND_USE_EN,LAND_USE_FR,POP_2015
HT0441-02,North Tubers and Horticulture,Nord tubercules et horticulture,7903
HT0512-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,14389
HT0332-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,7897
HT0341-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,11122
HT0441-01,North Tubers and Horticulture,Nord tubercules et horticulture,11847
HT0432-06,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,7040
HT0332-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,11777
HT0341-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,10744
HT0511-01,Urban,Urbain,150937
HT0551-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,15985
HT0551-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,17151
HT0422-02,North Tubers and Horticulture,Nord tubercules et horticulture,7177
HT0512-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,15384
HT0551-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,10180
HT0341-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,19213
HT0441-03,North Tubers and Horticulture,Nord tubercules et horticulture,3863
HT0423-02,North Tubers and Horticulture,Nord tubercules et horticulture,6788
HT0341-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,11157
HT0343-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,11832
HT0442-01,North Tubers and Horticulture,Nord tubercules et horticulture,4985
HT0423-01,North Tubers and Horticulture,Nord tubercules et horticulture,14450
HT0344-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,22543
HT0443-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,21828
HT0551-08,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,23994
HT0551-07,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,27677
HT0442-02,North Tubers and Horticulture,Nord tubercules et horticulture,7879
HT0345-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,10289
HT0344-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,19534
HT0544-01,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,34364
HT0551-06,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,23772
HT0614-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,23779
HT0541-03,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,41816
HT0611-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,31626
HT0612-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,21553
HT0641-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,16895
HT0543-01,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,22001
HT0541-04,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,42514
HT0641-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,16494
HT0531-05,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,72167
HT0541-06,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,27588
HT0611-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,29342
HT0542-01,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,22385
HT0641-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,27022
HT0642-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,30656
HT0612-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,15339
HT0611-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,36512
HT0542-05,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,32598
HT0531-04,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,49543
HT0542-03,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,27640
HT0642-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,26453
HT0532-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,26731
HT0542-06,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,26544
HT0531-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,58991
